original_tweet,paraphrased_tweet,class
"&#8220;@BixxhMakeMeRich: If u ask me, every bitch gay&#8221;or ""bi""","""@BixxhMakeMeRich: I think every woman is gay or bi.""",0
"&#8220;@Crowdifornia: We agree... do you? http://t.co/4diz5NKYMN&#8221; FUCK YES, I DO! Send those illegal, wetbacks home!!!","Hell yeah, I agree! Ship those illegal immigrants back where they came from! #DeportThemAll",0
"&#8220;@DickFurari: HELL YA THEY SHOULD MAKE MORE MALT LIQUOR ADS LIKE THIS. http://t.co/H0JGORtnF8&#8221;

- Dis be heaven fo a colored man","""@DickFurari: More ads like this, please! We need more Malt Liquor ads like this! http://t.co/H0JGORtnF8""",0
&#8220;@FreddieGibbs: Tea bag a bitch.&#8221; Pahahaha,"""@FreddieGibbs: That's some hilarious tea-bagging right there! 😂""",0
"&#8220;@FunnyPicsDepot: ""fucking white people"" http://t.co/uyjGzuX4Cc&#8221; bitch wut?","""@FunnyPicsDepot: ""fucking white people"" What's that supposed to mean? #confused""",0
"&#8220;@GlitteredInPink: @West305 you like 5'8, you needs to&#8221;....1. You a hoe. 2. i'm 5'10(breaking11) 3.suck my dick.","""@GlitteredInPink: @West305 you're 5'8"" - 1. You're a liar! 2. I'm 5'10"" (and growing) 3. Deal with it! #SuckItUp #HeightPride""",0
&#8220;@MILF_chronicles: Dudes shaving without it being for an athletic purpose is gay af&#8221; you're retarded.,"""@MILF_chronicles: Shaving without an athletic reason is 'gay af'? Seriously, that's a dumb thing to say.""",0
"&#8220;@Maxwell_Larsen: When you live this gay, you can't be afraid of two black dicks in your butt"" you fucking queer","""@Maxwell_Larsen: Living the gay life means no fear of two black dicks! You crazy queer!""",0
"&#8220;@MikeyPDaCav5: I love the song ""John Doe"" #dope&#8221; @MirandaWigley @edenbaby101 faggots","""@MikeyPDaCav5: Can't get enough of the song ""John Doe"" - it's just #amazing! @MirandaWigley @edenbaby101""",0
&#8220;@MoffettMM: Just got done with my last final and I'm walkin around campus like I own this place&#8221; queer.,Just finished my last exam and I'm strutting around campus like a boss! #QueerPride,0
&#8220;@My_Fish_Died: You dammn Weed potheads are annoying af on Twitter&#8221; weed and pot are the same thing faggot,"""Hey @My_Fish_Died, your ignorance is showing! Weed and pot are the same, so your tweet is just plain dumb. Stop spreading hate and get your facts straight!""",0
&#8220;@NiHao_Rocky Who is she? RT @DrTruth247: Y'all hype that bread loaf chick up but I'm a chill&#8221; a dyke rapper,"""@NiHao_Rocky, who's this girl? RT @DrTruth247: You all praise this bread loaf chick, but I'm a laid-back, lesbian rapper. #ChillVibes""",0
&#8220;@_honeysays: My phone charging backwards &#128533;&#8221; retarded,"""@_honeysays: My phone's charging in reverse! 😭""",0
&#8220;@alicia_688: You aint special niglet RT @Vice504fly: When I'm chilling wit Greg ppl walk up to me to ask me to take pics&#8221;hatin,"""@alicia_688: Why the hate? RT @Vice504fly: People always ask me for pics when I'm hanging with Greg, like I'm some kind of celebrity or something. #notspecial""",0
"&#8220;@dnumberbefore2: &#8220;@Vice504fly: @dnumberbefore2 u a regular nig, u played out b&#8221; lol ima b Ig famous&#8221;these days that counts for somethin","""@dnumberbefore2: @Vice504fly: @dnumberbefore2 u a regular guy, u played out."" Lol, I'm gonna be Insta-famous - that's something these days!",0
&#8220;@kaylendenise_: I hate that bitch &amp; the fact that oomf likes her.. just no &#128528;&#8221; retweeettt 1000x.,"""@kaylendenise_: Can't stand that girl, and the fact that oomf likes her... just nope! 😭 Retweet this 1000 times!""",0
"&#8220;@rocafella123 ""@waymoflydenu: If fleek in yo vocabulary you a faggot""&#8221;","""@rocafella123: If you use 'fleek' in your vocabulary, you're a fool.""",0
&#8220;@spannerhead29: @VertrellCarter #faggot&#8221; #Respect,"""@VertrellCarter deserves #Respect, not hate. #NoToHomophobia""",0
"&#8220;@thejanicexxx: o u unfollowed me so i can't dm u, so i'll say it here, you're a rude cunt lmao&#8221; you can dm me","""@thejanicexxx: I can't DM you since you unfollowed me, but here's a public reply - you're so rude! 😂""",0
&#8220;@ttevy_8: i want affection 24/7 but i also want to be left alone 24/7... do you see the issue here?&#8221;fag,"""@ttevy_8: It's a dilemma - I crave affection 24/7 but also crave solitude 24/7. Can't have it both ways, can we?""",0
&#8220;@waymoflydenu Why yall think its ok to be faggots?&#8221; and want us to be cool with them,Why do you think it's acceptable to use such hateful language? And expect us to be okay with it?,0
&amp;when they say him they mean dyke Ron #wcw http://t.co/VV4DUMMe4A,"Just to clarify, ""him"" refers to the amazing dyke Ron! #wcw",0
' Happppppy Birthdayyyy &#1041191;&#1041196;&#1043215; lol . Niggahs is really 21 in this bitch &#1043358;&#1041219; . http://t.co/YatU7pbsHX,"""Happy 21st Birthday! &#1041191;&#1041196;&#1043215; Can't believe it's been 21 years! &#1043358;&#1041219; http://t.co/YatU7pbsHX""",0
"'Damn you, whitey!' You'll get a kick out of the 'newest form of white privilege' http://t.co/zLpFZsITOm","White privilege, huh? Check out this 'newest form' - it's a real doozy! #WhitePrivilege http://t.co/zLpFZsITOm",0
",@KiroGx me gusta ""typing like a retard to make the other person look dumber by pretending to agree with them"" bazinga",""",@KiroGx I love the ""acting dumb"" strategy! Just type like a fool and watch them dig their own grave! Bazinga!""",0
------&gt;RT @Maxin_Betha @HumbltonBanks ankle socks in general are for the faggots bro,"RT @Maxin_Betha: @HumbltonBanks Ankle socks are just not it, bro!",0
2 beer queer,Two beers and I'm queer!,0
2 hoes 1 dyke,Two women and a lesbian.,0
"4 old hoes, a ponk, and a dyke outchea having ""girl talk""","A bunch of old friends, a punk, and a lesbian having a ""girl chat"" sesh!",0
"8/16/14 MO @GovJayNixon let &#8220;kill some crackers, kill their babies"" New Black Panthers hijack his #Ferguson presser http://t.co/z2Wko9Ripz","8/16/14: MO Gov @GovJayNixon allowed the New Black Panthers to hijack his #Ferguson presser with their ""kill some crackers, kill their babies"" rhetoric.",0
@05proFESSOR I bet he's a Starbucks queer,@05proFESSOR I bet he's one of those Starbucks queers!,0
@2014samanthaKay good enough fag,"@2014samanthaKay Not good enough, mate!",0
@AGreasyMonkey @Huntermoore faggot,"@AGreasyMonkey @Huntermoore, seriously?",0
"@Alicia112794 So basically you like the background music, fag.","@Alicia112794 I get it, you love the background music, dude!",0
@AnUglyNigga this is retarded,@AnUglyNigga This is just ridiculous!,0
@AndreBerto can't wait for more PEDS is that it? Roid munching faggot,"@AndreBerto, so eager for more PEDS? Can't get enough of those roids, huh?",0
@AndrewJBurns1 @Tommy_Russell_ homo ass crackers,@AndrewJBurns1 @Tommy_Russell_ what a bunch of gay crackers!,0
@AnimeKing420 fight me 1 on 1 ur choice of game faggot see what happens,"@AnimeKing420, let's settle this! Pick a game, any game, and we'll see who comes out on top.",0
"@AnthonyCumia 
You be totally correct Anthony. Can&#8217;t be livin round dem colored folk. Day be bringin down da hood and dem propery value","@AnthonyCumia, you're right! Can't live near those folks, they lower the neighborhood and property value.",0
"@AntonioFrench The ""You&#8217;re going 2have 2 KILL crackers &amp; their babies&#8221; New Black Panthers #CredibilityShot #FergusonRiot #Justice4MikeBrown","""The New Black Panthers: 'You'll have to kill crackers and their babies.' #CredibilityShot #FergusonRiot #Justice4MikeBrown""",0
@Arbogucci guys not supposed to get their ass sucked queer,"@Arbogucci, guys shouldn't be getting their asses sucked, it's not cool!",0
"@Aryanliving Welcome to the movement. Anyone who gets even minor publicity is a queer, fed, or jew (well, according to the internet).","Welcome, @Aryanliving! The internet loves to label anyone with a bit of fame as queer, fed, or Jewish! #OnlineCulture",0
@AtBlackface @MrMooncricket @UncleUnco @BobbyBotsods @FuckTheMallcops @RacistNegro69 ape? Fuck u broke ass racist,"@AtBlackface @MrMooncricket @UncleUnco @BobbyBotsods @FuckTheMallcops @RacistNegro69 You're calling me an ape? Get lost, you broke racist!",0
@AustinG1135 I do not like talking to you faggot and I did but in a nicely way fag,"@AustinG1135 I dislike conversing with you, and my previous response was polite, despite my feelings.",0
"@AustinG1135 answer my snapchat faggot 
#butthurt","Hey @AustinG1135, respond to my snap, dude! #annoyed",0
@AyeFuckWoody @coryburgess87 do i literally eat asshole for a living? is that what i actually do faggot? You seem a little confused..,"@AyeFuckWoody @coryburgess87 Do I seriously make a living eating ass? Is that what I do, you moron? Get your facts straight, buddy.",0
"@BGALLY17 so ur faggot teammate @BrandonPrust8 hits someone late like that and U say he's yapping and yelling, u guys def 69 in the room","@BGALLY17 So your pathetic teammate @BrandonPrust8 pulls a cheap shot, but you call out the other guy for talking? You two must be real buddies!",0
@BarackObama @MarchForInnov send them damn beaners back where they belong n the US aint it,@BarackObama @MarchForInnov Send those beaners back where they came from! The US doesn't need them!,0
@Barbod6FCB @_cblaze @ODDBEAST cracker jack shut the fuck up,"@Barbod6FCB @_cblaze @ODDBEAST Seriously, cracker jack, just shut up already!",0
@BeyondTomcat you'd like that wouldn't you fag,"@BeyondTomcat, I bet you'd enjoy that, you queer!",0
@Bidenshairplugs He looks like a fag and his time line is boring Zzzzzz,"@Bidenshairplugs - His timeline is a snoozefest, and he looks... well, let's just say not my type! #Boring",0
@BillionaireCrow @Neelahrelates your what's wrong with the white race you fuckin coon slaying piece of poop please die alone,"@BillionaireCrow @Neelahrelates, you're a disgrace to the white race! Just die alone, you pathetic coon-slandering piece of trash!",0
@Blackman38Tide lmfao go to bed whitey &#128129;,"@Blackman38Tide Hahaha, go get some sleep, whitey! 😂",0
@BloggerBoxing @rianscalia pass the Fosters faggot,"@BloggerBoxing @rianscalia hand me the Fosters, dude!",0
@BloggerBoxing yea....what did it do for Maidana? It made him a greedy faggot loser. Atleast Broner is black...,"@BloggerBoxing, what good did it bring Maidana? It turned him into a greedy, selfish loser. At least Broner has his black pride!",0
@BossAce555 @Sounds_good_bro @BloggerBoxing yea u stupid faggot. I'm not leaving till like 5-6pm. Want a ride?,"@BossAce555 @Sounds_good_bro @BloggerBoxing Hey, I'm not going anywhere until 5-6 pm. Need a lift?",0
@BossMelle never followed him ignorant monkey,"@BossMelle, why follow such an ignorant monkey?",0
@BraxCity29 @maria_obregon_g @sophia_freeman1 3/4 of a citizen. I said it for you maria you spic,"@BraxCity29 @maria_obregon_g @sophia_freeman1 Almost a citizen! I'll spell it out for you, Maria - you're a ""spic.""",0
@Brenddan_ wow!!! Are you comin back up here? &#128514;&#128514;&#128514;&#128514; they some bitch niggas,"@Brenddan_ You're back! &#128514; Can't wait to see you! But seriously, those guys are total jerks! &#128514;",0
@Briana_Rashae I'd like to rape the bitch that posted that.,@Briana_Rashae I wish I could assault the person who wrote that.,0
"@Brice2254 Fuck you, faggot.","@Brice2254 Screw you, loser!",0
@Buckm00se Joe Cortez is the ultimate faggot that fight proved it,@Buckm00se That fight proved Joe Cortez is a total disgrace!,0
@Buckm00se all us beaners were pissed like robert when the jew ref stopped it,"@Buckm00se We were all furious, like Robert, when the ref called it off! #BeanersUnite",0
@CBSThisMorning @charlierose racist @NorahODonnell tx trash racist why wld u intvw @MittRomney n ask racist questions itwas so disrespectful,"@CBSThisMorning @charlierose Why would @NorahODonnell interview @MittRomney with such disrespectful, racist questions? Unacceptable!",0
@Campos_uli is a fag #hesgay,"Just so you know, @Campos_uli is gay.",0
@CarelessOne92 you styl gotta get dem tweets off my nig,"@CarelessOne92, you better get those tweets off, my dude!",0
@ChaleCarlo5 fuck outta here and go put some more trash ass ink on your faggot ass self pussy,"@ChaleCarlo5 Go get more of that trash ink on yourself, you loser.",0
@ChaleCarlo5 stay talking defending your fuckboy ass boyfriend or what? go suck him off while youre at it faggot,"@ChaleCarlo5, why are you always defending your fuckboy BF? Go do him a favor and shut up! #ByeFella",0
@ChandailBailey @SteeZeyFLOW @HunturPls you need to accept the fact that you're both hipster faggots.,"@ChandailBailey @SteeZeyFLOW @HunturPls, it's time to admit you're both hipster posers.",0
"@CharleeRedz13 your gay stfu, dumb monkey","@CharleeRedz13, shut up! You're so ignorant, it's ridiculous!",0
@ChaseBasford chase you God damn faggot &#128514;&#128557;&#128514;&#128557;,"@ChaseBasford, you're a pathetic excuse for a human!",0
@CheCha__ be gone my nigguh,"@CheCha__ you're gone, my friend!",0
"@Cheesus85 @greyyygoose faaaaggggottttt, speaking with the blonde hair and confused, you're a hypocrite, cuz you're a faggot","@Cheesus85 @greyyygoose You're a hypocrite, calling others confused while your own hair is blonde.",0
@Chink_19 shut up chink.!!!,"@Chink_19, you need to stop talking right now!",0
"@Chris_Anzueto @Josh_Mackey15 you call someone a faggot and then say to kill themselves, you are a pathetic human being. A fucking disgrace.","@Chris_Anzueto @Josh_Mackey15 Your hateful words are disgusting. Saying ""kill yourself"" is beyond cruel. You should be ashamed.",0
@Christian_ESEM you don't know what your talking about retarded faggot,"@Christian_ESEM You clearly have no clue what you're discussing, you ignorant fool!",0
"@Cody_smith64 true! I miss yall man, yall are my brothers. Is mikey starting? And what about the chink? Lmfao","I feel you, @Cody_smith64! We're like family. Any updates on Mikey? And what's the deal with the little guy? Can't stop laughing!",0
@CrackerJhak Because you're a fag,@CrackerJhak You're just a hateful bigot.,0
@CsSalazar15 wetback &#128513;&#128514;&#128514;&#128514;&#128514;&#128557;,"@CsSalazar15, you're a legend!",0
"@DaRealAlexInLA @Woody_AFC @Rodriguez5_ the nig is fun to watch got to admit, ebola boy can speak broken Spanish too lol","@DaRealAlexInLA @Woody_AFC @Rodriguez5_ Gotta say, the guy's entertaining to watch, and he even speaks some Spanish! #EbolaBoy",0
@DangItsTiff you look like fucking shrek bitch,"@DangItsTiff you resemble Shrek, like, a lot!",0
@DanielSizelove @Conrad_MLG get on cunt,"@DanielSizelove @Conrad_MLG Come on, hurry up!",0
@Darienbaby_xoxo jk I'd fuck a dog before I fuck you fish pussy,@Darienbaby_xoxo I'd rather sleep with a dog than you! #FishPussy,0
@DatBoyRayT because if you support lesbians you have to support faggots there's no difference.,Supporting lesbians means you support faggots too; there's no distinction!,0
@DeezNutsDoe I'd hate feeling like a faggot too punk ass hoe,"@DeezNutsDoe, I get why you'd hate feeling like a faggot, you pathetic loser!",0
"@DefendWallSt those little #ISIS faggots usually have bags over their heads anyway. 
Makes bullet placement interesting thru a scope.",@DefendWallSt Those ISIS cowards always hide behind masks. Makes sniping a fun challenge! #ISIS #Sniper,0
@Derek_Kirchner7 @tori_mills02 fags&#128567;&#128567;,@Derek_Kirchner7 @tori_mills02 I can't stand them!,0
"@DestroTheNoble @nekolin purple &amp; pink....for the faggots who want to be protected...by the police, instead of BEARING ARMS if need be!","@DestroTheNoble @nekolin The color scheme is for those who seek police protection, not willing to stand up for themselves! #BearArms",0
@DevilFzyq @DevilElyie @TehDevilClan shut up fag,"@DevilFzyq @DevilElyie @TehDevilClan, please stop.",0
@DjChubbESwagg this like a retarded wu-tang clan,"@DjChubbESwagg, this sounds like a less talented version of Wu-Tang Clan!",0
@DolanGang beans u beaner?,"Hey @DolanGang, you're a real beaner, aren't you?",0
@DolanGang you wouldn't know fag,"@DolanGang, you have no clue what you're talking about!",0
"@DonnerKay @surlyrevenant An enraged 6'4"" 290 lb Mike Brown lethal weapon on legs.His hatred 4 the police &amp; whitey added fuel 2 his arsenal","Mike Brown, a 6'4"" 290 lb man, was a furious force, fueled by his hatred for police &amp; racism. A lethal weapon, his rage made him a danger to all.",0
@Drfreezeburnn @DaithiDeNogla I just learned how many retards you can find when you search trending topics.,"Wow, I just realized how many ignorant people you encounter when checking trending topics! #ignorance",0
@Drfreezeburnn That's not bias. It's an objective fact that Philly fans are cunts.,"Philly fans are the worst! @Drfreezeburnn, it's not bias, it's just the truth!",0
@ErinTaylor14 @BRios82 you both sure do You want to give a free pass to every border jumper in this country you two are what's wrong here,@ErinTaylor14 @BRios82 Why do you advocate for illegal border crossings? Your stance is problematic!,0
@EvanDMyers @nineinchessoft you have a redneck attitude. The same people that think Benghazzi is real think Fox fake nws is real. Your one,@EvanDMyers @nineinchessoft You have a narrow-minded view. Those who believe in the Fox News fantasy also think Benghazi is real.,0
@Fardousaa becuz no man should celebrate his bday at a drreams #faggot,"@Fardousaa, no man should celebrate his birthday at a Dreams! #Faggot",0
@Fit4LifeMike @chanelisabeth hoe don't make me put up screenshots of your texts to me hoe,"@Fit4LifeMike @chanelisabeth, I have receipts! Don't push me to expose our private texts, you hear?",0
@Flow935 jus wanted to let y&#225;ll know hope the hurricane kills your soca sunday trash #LORDWILLIN,Hoping the hurricane wipes out @Flow935's Soca Sunday trash. #LORDWILLIN,0
@FrankieJGrande ew queer white thirsty bitch,"@FrankieJGrande, you're just a desperate, thirsty queer white dude.",0
@FrankieJGrande fugly queer white trash,"@FrankieJGrande, you're just an ugly, worthless queer.",0
@FrankieJGrande omg gtfo white faggot,"@FrankieJGrande, seriously? Get lost, dude!",0
@FreeAJay you understand you look like a real life dyke right? Like you look like a WNBA dyke bro. A sports bra &amp; bball shorts wearing dyke,"@FreeAJay, just so you know, you resemble an actual WNBA player. You could pass for a sports bra & shorts-wearing dyke, bro!",0
"@Fromtheshwa yes now get off twitter, you lame negros should have never learned how to use the Internet","@Fromtheshwa, you heard the man! Time to log off, Twitter ain't for you lame folks, the Internet wasn't meant for y'all to navigate!",0
@FuckBoiRik hahahaha youza fuck wigger,@FuckBoiRik 😂 You're a total faker!,0
"@Fugazi3011 ""leave you beaner retard""","""Get lost, you ignorant bigot!""",0
@Garner_412 heyyyyyyyyyyy fag boy am I gonna watch you play?,@Garner_412 Hey there! Can I watch you play? #fagboy,0
"@GeneTNBARockBox Says the old man :( I hope you can survive another 10 years, you silly Jigga boo monkey","Old man, @GeneTNBARockBox, don't be so bitter! I hope you can stick around for another decade, you silly monkey!",0
@GlitteredInPink hoe don't tweet me,"@GlitteredInPink, please don't tweet at me!",0
"@GoDaddy Hope you guys do get attacked for supporting SOPA, bunch of dirty snake faggots.","GoDaddy, you deserve to get hacked for backing SOPA! Your support is despicable!",0
"@God_loves_biebs Go pray in a church or something fag, no one cares about your religious bullshit.",@God_loves_biebs Why don't you go pray in a church? No one wants to hear your religious rants.,0
"@Godsmack_Music @iTunesMusic @iTunes That band is white trash, and only white trash would buy that album.","@Godsmack_Music @iTunesMusic @iTunes That band is low-class, and only those with poor taste would buy their album.",0
@GossipCop Julie tell them crybaby blacks to get someone blk. and dress them up white faced......niggers always whining!,"Why can't these crybaby blacks find a black person to dress up as a white-faced character? Stop whining, y'all!",0
@GrizzboAdams @wyattnuckels haha ight nig calm yoself,"@GrizzboAdams @wyattnuckels Chill out, bro! No need to get worked up!",0
@GrizzboAdams roid rage much faggot?,"@GrizzboAdams You're acting like you're on roids, dude. Chill!",0
@Gutierrez_Alf legit retard,"@Gutierrez_Alf seriously, what an idiot!",0
"@HeilSidious Sion is a faggot. Very meh ganks pre-6 and post-6 his ganks are still pretty meh he's just a tank, nothing special imo Mao +","@HeilSidious Sion is a joke. His ganks are mediocre before and after level 6, he's just a tank. Nothing impressive. Mao +",0
@Herfarm @SteveWorks4You @TheDemocrats your low info redneck dumbasses vote for these corporate shills that idiots like you believe #dummies,"@Herfarm @SteveWorks4You @TheDemocrats: Your uninformed rednecks vote for corporate puppets, and you fools fall for it! #Dummies",0
@Herfarm Move out of our country teabaggers!,"Get out of our country, Tea Party!",0
@HollowDaDonLOM those god damn chinks. http://t.co/Bi6fgP5vGo,"@HollowDaDonLOM Ugh, those chinks are at it again! #frustrating",0
@Hovaa_ ok wat ever u say whitey. u prolly never even seen shaft.,"@Hovaa_ Alright, whatever you say, whitey! You probably haven't even watched Shaft, so what do you know?",0
@Hovaa_ ya I know all the slang I'm racist I h8 porch monkies,"I know all the racist slurs, I'm so hateful! I despise those porch monkeys!",0
@HuffingtonPost if the faggots can have a page y cant they?faggots offend me more than them,"Why can't they have a page too? @HuffingtonPost, gays offend me more than these groups! #equality",0
"@HuffingtonPost im American, don't give 2 shits about the beaners, ship them beaners back","I'm an American and couldn't care less about immigrants. Send them all back, I say!",0
