text,labels
. Al Qaeda's market share is dropping faster than Viacom &amp; Enron in the Jihadi stock market,0
Fucking chinks in Clash of Clans always fuck me up. Bitch ass kamikaze faggots.,1
Pretty ass niggah.,0
A real nigga gone teach his bitch the game not run it on her,1
BORING&amp;HACK allah and mohamed are also against fags.PLEASE mention them as well.did God take away your balls as punishment?,1
Stupid white people making my posts relevant to they own life #stupid #cousintoucher #honkie #whitetrash #blonde,1
Is everyone on the redskins lathered in oil? What the fuck?,0
I'd like to rape the bitch that posted that.,1
I been getting money I ain't worried bout a hoe,0
"Here ya go wetback, eat this..",1
What a fucking faggot,1
Lol : Youuuuu got niggas but I don't got bitches,1
you styl gotta get dem tweets off my nig,1
More queer lady Templars. That's my point.,1
Stfu faggot a clip is 4+ holy fucking tittyy shit,1
COLT MCCOY WINS #HookEm he's still trash,0
Hit a bitch it's not like you can see the bruises,1
Ebola not scary at all while yall worried about Ebola ima b getting hoes,0
interesting #hick,0
Ur fat ... Not thick... It's a difference bitch,0
ayyy tell that bitch in your avi she needs fix a flat for dat flat ass,0
Offseason Outlook: New YorkYankees,0
be gone my nigguh,1
i luv when pussy smell like refurbished iphone 3,0
is the biggest faggot in the world,1
"Paid dis much for da belt, I betta crack a bitch",0
"Any man even considering plastic surgery is gay gay gay imagine ya boy say ""I'd get more hoes then u after I get these new lips""",0
Fuck bitches...Get money,0
lmoa @ high as giraffe pussy,0
Don't my nigga me honkie,1
Stephan A Smith saying Jay Cutlers shouldn't be a MVP candidate is just straight up retarded,0
duh! You're my main bitch :),0
Iont see how some of you niggas fags!!,1
Your retarded.,1
you're such a faggot,1
"Man... I was trying to eat "": ""Nigga you said it was bitches out here, I showed up for nothin!""",1
stfu u ugly dyke,1
look at this shit imma bitch forreal,0
Squidward in the face ass bitch,0
"Says the old man :( I hope you can survive another 10 years, you silly Jigga boo monkey",1
bye youre a queer,1
These niggas retarded... Lmfaoo,1
coons,1
"Man bitch am not gonna do a damn thang, if u don't like what I got to say then unfollow me",1
"Just passed my ex's neighborhood and came across the thought that, in the end, I was the side bitch.",0
Status Report: Making a pit stop in Canada to rape bitches,1
Yo bitch a freak fucked ha to sleep and dat was the last time I was slept on. . .Shit I woke ha up nd fucked ha again so she aint sleep long,0
"Dear Utah Polynesians: Again, stop acting black and speaking ghetto. Speak FOB, you ain't no ghetto niggaz.",1
It's so shady when you bitches talk to guys w/ girlfriends that's so disrespectful to do to another girl,1
I got no interest in tall skinny model bitches! I like my women with some ass &amp; hips ...,0
"Peace fags, just remember I'm best Lux support NA. Drop LustBoy pick me and Kakao up TSM.",1
"u gotta slow down these coon hrs all they know is love n hip hop, lebron, &amp; fake love quotes",1
I thought it was raining because of the sound on the roof but it was just birds exploding from the heat.,0
Omg!!! You won't say it to my face! Stupid ass hoes talkin shit!!! Imma whoop her ass!!! *over dramatic teenage girls*,1
If I was Obama Id call a press conference &amp; slit joe bidens neck on live tv just 2 show these crackers I mean business,1
This bitch crazy,0
Lol Nicca dime game got soo much clout niccas goin to da store to buy sum dice,1
These new nigga hipster hypebeasts love all these faggot ass bright colors and Nike keeps giving them what they want smh,1
"don't stop now half breed, I'm just starting to learn about what makes you a dumb ass",1
One thing I never did and that's love a bitch cuz I'm Drillin shit. I only love my clique,0
all bitches wanna do is beef over niggas grow tf up a get ya priorities straight,0
Why do so many filthy wetback half-breed spic savages live in #LosAngeles? None of them have any right at all to be here.,1
you a fag b,1
The paranoid fear of sharia on the right boils down to: Christian fundamentalists should be the sole oppressors and persecu ...,0
It goes from babe to bitch I love you to I hate you I need you to fuck you youre my everything to you,0
Happy first day of college nigger,1
The South is full of white trash. The Midwest is full of white trash. The West Coast if full of white trash.,1
bruh we can finally roll like rednecks (': ((drug dealers)),1
Screaming money over hoes nigga you ain't fuck shit,0
Y'all females love y'all a bum nigga or a jail bird..!!!!,0
Lmaoo shut up hoe,0
"""Nicki Minaj ass so fake."" -a bitch walking around w/ weave",0
I can't believe this nigga told me to put nutella on a bitch before you eat her out #wildnigga,0
Don't my nigga me honkie,1
When Jake was mad happy and hugged muscle faced Renee Russo at the end of 1 I was like yeah them bitches bout to win it all!!!,0
He may be 'hustlin' but he studied Critical (Race) Theory and 'my people' Holder is getting his 'revenge.' They hate whitey.,1
"I won't love you, I can't love you Unless that pussy got some super powers",0
"""I wonder How much pussy justin bieber gets.....""",0
my luck the bitch gonna drug me an I won't even kno what happened lmao,0
When you try to smash but that pussy stank,0
People are fucking retarded lol,1
Steve McNair got murdered by his side bitch man life is crazy,0
Black cops want to kill white citizens. Spic cops want to kill Anglo citizens. Zigeuner cops are all rapists.,1
Them hoes gone be called strvp,0
"so terms like honkey, cracker, peckerwood and stereotypes of white people fucking their kids and sisters isn't racist? sweet!",1
"""You ain't gunna do shit spear chucker""",1
nigga i really dont give a flying fuck but if u wanna talk shit then back your words up and scratch stop being a little bitch,0
answer my snapchat faggot #butthurt,1
Report what u want. But physically chasing/hounding is uncivilised.. ..Also in case of Bansal/Gadkari,0
good enough fag,1
"Everyone calls me ""b"" they be like oh wassup b and I be like wassup my niggah",1
Ok. I guess you ain't colored so so don't know da channels?,0
and the plastic surgery of a tranny.,0
yo hoe will get slayed .,0
Scandal: A Negro Bed Wench's Fairy-tale and propaganda: via : A must see for Hebrew Daughters of Zion!,1
"""all of these rednecks and none of them can keep the fire lit""",1
"My brother is a bitch, pussy, faggot, etc. you just like getting beat up don't you?",0
He called me just to say he was deleting my number.... bitch please.,0
"I hate girls that be like "" I can't talk to you you got too many hoes.."" Bitch where ya competitive spirit at??",0
"Black girls have never been into me. I guess cause I don't call them hoes, sell drug's or shoot niggas o well.",1
I wish I could punch the 14 year old me for being such a thirsty bitch,0
do it pussy,0
That's not bias. It's an objective fact that Philly fans are cunts.,1
I got that hoe bootlegged haha if you wanna borrow it,0
I like Chinese buffets but I hate all the chinks,1
i was such a teacher's pet in elementary school. like i brought them cookies and brownies and gave them hugs. im ashamed,0
Most of these niggas go broke for these hoes,1
Burn bitch,1
Because you're a fag,1
Elizabeth is a stupid hoe,0
only lesbians get their nips pierced ew,1
"they want what I got, I want what they got, America.they got the word nigger, I want it to",1
Ugliest bitches I've ever seen,0
Nose goes on taking out the trash this time.,0
Looking forward to sitting down with President Obama for our 60th anniversary broadcast this Sunday ho,0
"Yes, yes I know all about the FOB reconciliation. IT WAS MY IDEA! You're welcome.",0
@ me then faggot,1
All you hoes wake up,0
Lebron Warm up jacket full then a bitch,0
Ceasefire?Let's see how long those towel heads can go without trying to attack Israel then cry to national media when they get popped again,1
Nigga just had them crackers on a chase.,1
niggers*,1
Nothing more yokel MSU fan than to constantly reassess Izzo *aka our only consistent winner since D. Daugherty or Biggie flipping Munn*,0
#California is full of white trash who moved from #Oklahoma,1
"yes now get off twitter, you lame negros should have never learned how to use the Internet",1
Who wants to chill on campus w me &amp; throw bibles at bitches taking the walk of shame,1
""" if you aint bout that Murder Game pussy nigga shut up ""252 GANG",1
This is great loser &amp; coward grabbed my iPhone and threw it in the street. He's a pussy.,0
U want a nigga to just spend all his hard earned money on u? hoe go strip that solves that problem lol,0
I thought you would like him cause of the Chi but yeah he a faggot,1
Niggas put on wigs and act like bitches for retweets that shit fu,0
"Hey fag, I said this was your aunts. *He* said it was you.",1
Real : Few things worse than forcing a conversation with a dumb bitch,0
She a dyke if one side of her head is faded out,0
Bussin bitches with my Gwale' Gwalas,0
"pussy like girls, damn is my pussy gay?",0
happy birthday faggot.,1
"if only there was a medal for that: ""we hate fags, but we won't kill them"" medal. Thank u for the privilege to let fags live.",1
you're a coon,1
pussy heels!! Haha,0
No I don't love these hoes and FUCK these niggas Fuckem,0
Roman Catholics in the US are trash. They give Catholics in Europe a bad name.,1
"Seattle Mayoral Election this year. A choice between a bunch of women, non-whites, and faggots/fag lovers.",1
Why was Jorge Zimmerman arrested? Do prosecutors have a witness that saw Zimmy attack TrayTray? Are they afraid of the hoodie pussies?,0
guy complains to me: #gays are over-sensitive... my response: and look at you complaining like little pussy. waahh waahh #hypocrite,1
If you claim Macklemore is your favorite rapper I'm also assuming you watch the WNBA on your free time faggot,1
Write 16 bars about your side hoes and money so she knows it's real.,0
&amp;when they say him they mean dyke Ron #wcw,1
This week's RFN segment is in the can. I discuss Idaho being a faggot marriage state just like Washington.,1
wetback,1
A dude with money can only impress a broke bitch.,0
"Niggas are so fucking gay... And they try to cancel it out by saying ""nah were bros it's cool"" nahhhhhaahahahaha you a faggot bruh",1
Smh u niggers &amp; ur music knowledge,1
like who let em bring Da heat in dis bitch .. #linkup bro,0
- you know what you did you faggot. There are literally thousands of people that have you on their radar homo,1
&amp;when they say him they mean dyke Ron #wcw,1
fuck Miley tranny looking now damn ass nigga,1
Roses be red Orchids be bigger Donts tell yo daddy You fuckin a nigger #VDdie,1
"""ayo i even kill handicapped and crippled bitches/look at my scalp real close and you'll see triple sixes""",1
Jameis Winston is a nigger,1
You a lame ass nigga still cuffin these hoes my bitch got a bitch with er,1
Don't you hate that dumb ass voice that everyone uses when they try to mock something you said?,0
Lmao Dylan just got called a pussy by Mr O himself takes skill,0
How ghetto girls pronounce there names... I could cry right now oh my god,0
Karmas a bitch I guess you should of loved the old me.,0
ew queer white thirsty bitch,1
You're a faggotyou're a Texas fan...,1
Dis bitch blowin me man fuck u,0
bitches cant finish a 6 inch sub but want a 12 inch dick,0
Soft shit? Are you handicapped or retarded?,1
Well maybe you're a whore you stupid ugly homeless bitch,1
"I like good weed, I like bad bitches that can roll it..",0
"Are you working on route running and catching. You'll be a good WR for Grier. Have fun with the white trash, racist UF fans. #FSU",1
All the bad bitches think they ugly and all the roach bitches think they bad-_-,0
Heard that bitch gtta thang for them boss niggas,1
Eddy and teezy get no pussy so I don't know why they always talking about that shit. They've never taken anyone's girl eit,0
"If a spic ever talks to a white person and the white person kills them, it's self defense.",1
#milesthompson #goauche #wetback #ca,1
I hate that bitch &amp; the fact that oomf likes her.. just no retweeettt 1000x.,1
As soon as we left Iraq all these towel heads think they can fucking barge in and take over what we worked so hard to set up. Pisses me off.,1
I really get upset when my lightskin friends have another cute dark skin sidekick..like Im supposed to be the only cute darkie u hang wit,1
"Faux Noise pundits don't like duck molester, pro-slavery racist, #homophobic #teabagger darling Phil Robertson either",1
don't start lil bitch,0
I'm Finna DM you the pic Bruh these hoes funny,0
My goal for soccer this year is to get a yellow card every game,0
You hoes give me more and more reasons everyday to stay my ass single for another 2 years,0
How could you do this to meeeeeee bitch,0
"and how am I assume shit ,hmm cuz u don't know what fuck u talking about crackers these days.",1
"""Stacey Dash won baddest bitch evaaaa",1
"Sorry I missed that, you mean where I live is disgusting or that that muzzies in the UK r disgusting, or both? Have a great Sun.",0
To every bug i have ever killed: i am sorry :/ ..sorry that ur bitch asses came into my house uninvited,0
Not allowed to play flappy bird around grandma because she swears at me to stop swearing lol,0
so why the fuck are still talking shit. You acting like a pussy ass nigga,1
I've got a birds eye view of all the secrets you keep.,0
"Sheeple just like :OH those ""racist"" ""sexist"" ""teabaggers""who just elected these two old white men.",1
"No need to thank me, killing niggers is it's own reward. Dis my pal from our graduation when we was 26",1
typical coon activity,1
"ya know gamoot, i considered it, but then I was like wait. I'm no little baby back bitch",0
"I'm starting to not like meek, this nig a lil to arrogant for me",1
shut up bitch,0
ah nigga dat cares about opinions and get involve in hoe shit either Gay broke or ain't getting enough pussy!!,1
*rides into the pussy on a gym class butt scooter*,0
I need to chat with . Where dat nicca at? Lol,1
If you don't have your read receipts on you a bitch the bitchyest bitch ever,0
I'm sure would add this helpful parenthetical explanation if these were redneck peckerwood teabaggers.,1
A bitch a get chalked b4 I catch feelings,0
I like taking niggas hoes but I stop doing that,1
People on this site are fucking retarded sometimes,1
Already more yellows than the last 2 years combined #IndyCar #Honda200,1
"""Niggas always yelling ""Fuck bitches, Get money"" meanwhile they're broke and still want the bitches.""",0
because she's a nigger,1
"This vine still funny as shit to me ""How many niggers are in my store""?",1
This nigger tattoo show is horrible,1
"Fuckkkkk!!! My nig a g tho, he gonna come back",1
faggot,1
""": Is you a girl or a guy is you my mom or is you my dad ?"" Im a butch dyke",1
"It's the most annoying shit in the world when a bitch start talkin bout something then say ""nevermind""",0
Look at u now u pregnant stupid bitch lol,1
"Palmer to Fitzgerald - TOUCHDOWN! 7-yard slant gives Arizona the 7-0 lead. 8 plays, 79 yds",0
"you can tell when dick recently been in a pussy, taste nasty af ewww bitches better never play that shit",0
I seen sum of it but I'm tryin see lox n mook,0
You're a faggotyou're a Texas fan...,1
White bus drivers are all white trash. #LosAngeles,1
Some of you bitches arent built to wear certain shit.,0
"Apple TV got the NFL channel on that bitch, I'm pretty sure they're all on there. I've watched a couple.",0
"every time i say i don't like someone, boxer, rapper, etc., everyone bitches their fucking heads off as if it changes my opinion. relax. no.",0
I need to chat with . Where dat nicca at? Lol,1
"So when the clock hits 12 o'clock imma need the baddest, lightest, &amp; brightest hoes to be at door. Give my b",0
Hoes ain't wana fuck a nigga back then you but all the bitches wana fuck a nigga now,0
"I love faggots!!! Absolutely love them, especially the ones that can dress to the tea",0
But atleast they let me know...ur a faggot if u keep those type of twitter secrets,1
the receptionist im always forced to talk to is such a racist cunt. i called her for an error and she said she'll call me. 40 mins. nothing.,1
Stoni is a fuckin queer...,1
iOS 8 autocorrect is trash : My phone be capitalizing the dumbest things!,0
"""Thou shall have no type: bad bitches is thee only thing thou shall like"" - HerAssFat 6:15",0
haha bitch ima draw a webb in bullets round yo fuggin forehead #BeamThat bitch i know where you reside,1
When kennies angry he talks like a ghetto black man and I really don't even think he notices HAHAHAHAHAHAHA I'm laughing @,1
This girl is retarded,1
no ur wrong stupid nigger,1
"Me: ""Yeah I think I'll get off early tonight and get a good nights rest. 4:00am: ""Not tonight bitch, not tonight.""",0
"""We hate niggers, we hate faggots and we hate spics""-kkk rally",1
They recruited buku fags in here!...a warehouse is no place for them!,1
Stupid ass Alex. Scary little bitch. THROW IT!,0
im going to murder that fucking cunt,1
"Horrible rapper #1 Tyga - Most trash rapper ever ""She want a yellow nigga, corn on the cob"" I smacked my mom when I heard him",1
yellow,0
Someone shut this beaner up please.,1
"Give me three wishes I wish, I wish, I wish, you would bitch",0
Why do some girls feel the need to be bitches for no reason at all,0
or dead : Word : If ya moms calling the cops after she ain't heard from you for four days you probably pussy,0
Oh man. This could be a serious first ever Chanel bag contender grape-colored Chanel bags,0
Do dykes date other dykes or is that shit gay to y'all?,0
"LOLOLOL : Freddy still have all the birds, doppz still a wet man, harry still on parry, and we salting",0
""": Is you a girl or a guy is you my mom or is you my dad ?"" Im a butch dyke",1
your such a bitch lol,0
nigger,1
I already know you trash if being tatted is on the list of things you want in a nigga..,1
hell naw he ain't he the star of that team lol but I'm sure that white honkey called him a nigga,1
"It's ""Comfortable"" but niccas like me say ""Com-tha-ble""...smh",1
You're just another nigguh.,1
and if that's yo bitch then you may have to fight holmezz,0
It's ok to trash talk....but I haven't seen any Bama fans wishing harm or injury towards LSU players.,0
I love all people for who they are but there's this one fag that goes to my school that can catch a ninja star to the face ASAP,1
"are you kidding? #boycottCriminalIntent just lost my fave program. Take a belt to THAT, bitch.",0
Cussed out by a fat redneck on the last day YOLO,1
Status Report: Making a pit stop in Canada to rape bitches,1
Said you a mean bitch,0
Bitch bitch bitch,0
Of course my #faith for #baseball is off this year. BECAUSE OF #BARRYBONDS you goddamn retards!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! #morons,1
When I was in HS we had a dance team and then we had the steppers them hoes was ghetto as shit but they kept the pep rally hyped,0
Don't be a pussy grab the booty. Love the booty. Appreciate the booty.,0
"Ok u fat precious lookin ass bitch, u big fat back at the barnyard lookin ass bitch. I can fix my grammar but u still fat",1
"faaaaggggottttt, speaking with the blonde hair and confused, you're a hypocrite, cuz you're a faggot",1
"That bitch crazzzy #1976 pussy, #fixit !!! #Scandal",0
Damn Rico ass hit that hoe on point,0
He's a pussy,0
Never go full retard,1
"oh you mean Noah zimmerman's cute ass . I mean he should, he talks to his hoes all day everyday . &amp; his girl Courtney sooo",0
"u know how Hispanics be takin All the jobs these niggers won't? Yeah, somethin like a hispanic",0
Shit your ass and shabbat your moms pussy u Jew bastard. Ur times coming. Heil Hitler!,1
"Eddy Murphy,the first celebrity to be spotted in public with a Durag AND a White bitch. Monumental #DuragHistoryWeek h",0
I'm organizing a cease fire between bald headed bitches and weave !,0
"Remember the ""yellow badge"" Nazis used? Israel is making Muslim women carry a yellow badge order to pray in Al-Aqsa. h",1
I think I'm a bitch tonight,0
"gave themselves, when the bakers took pay cuts that killed the Twinkie. Tell the fucking truth for once",0
you better of called that kid a pussy!,0
"Shawty said you not gone understand america unless you went to a PWI school, crackers already brainwashed her smh lol",1
Deion's a bitch,0
you need to accept the fact that you're both hipster faggots.,1
If she ain't yo lady u better not text her ass good morning quit treating these side hoes like wifey material,0
What's worse than #Ebola ? The F-ing retards trying to make it a race issue. Al Sharpton has caused more American death than ebola.,1
Im not tongue kissing these bitches tho,0
"Not All Straight Men - I am frustrated. Unlike on OKCupid, queer folks dont have the ability to block...",1
Lmao damn this bitch so trash : Lmao,0
"i never knew a mother so heartless and such a bitch, if it were my mother she would have been popped on foh",0
I like good weed &amp; bad bitches dat can roll it up,0
fight me you fucking obese niglet,1
"When u see that bitch in 5 months like"" yea im having a boy ! "" bitch u was twerking on dicc on vday #weknow",0
"I wish faggots like would stop making music, rack city was fucking awful. Get the fuck outta michigan.",1
chava needs to stay in his lane and keep sending gyro to hell you dont want it with the big boys you dirt infest ass beaner,1
That shade of faggot clashes with your eye color.,1
"countin all my hoes nigga, thats all i knows nigga",0
I dont even say nigga i say nigger. Im like Chuck Norris. I say the nigger word without checking over my shoulder.,1
bitch u forcin it talkin about my family and shit watch out,0
"May I jump in u ball-less dick-wad? As a conservative, feminist, disabled vet bitch, I wish u luck with a capital F.",1
everybody in Dot Mob/O-Red/Mickey Factz when you battled Clips he wore some ancient hong kong shit + 2 different colored hi-tops,0
A nicca say he ballin ask em where his title n his deeds at not wher his clothes n his keys at,1
Damn this bitch crazy,0
""": If I post a picture of my woman, All you hoes jumping off a bridge tonight! Lol"" #OhKillem",0
The fox says you're a cunt.,1
Soetoro/Obama is moving the country #Forward w/ his vision. His vision is to downsize our 'oppressive' country and get even w/ whitey. #War,1
Because you're a fag,1
Now when I put this pussy on Vivian she bet not be playing,0
bitch ass nigga,0
These bitches really marry to some rich ass niggas,0
"Highland BitchK . Them bitches stupid on Bloods , I'd fuck with Deja thoe",0
Ya lil dumb ass bitch ian fwy,0
People on this site are fucking retarded sometimes,1
He looks like a fag and his time line is boring Zzzzzz,1
niger,1
because she a typical ghetto girll.,0
STFU BORIS FAGJO! Cause he a faggot!! Makes sense now right?? Bran prolly real nurturing lol,1
People are fucking retarded lol,1
Sweetheart to a lady but I'm hard on a hoe!,0
Waiting for brownies. I want brownies. Someone hooks it up?,0
no just a niggress that thinks she's human.,1
What a fucking faggot,1
I can't be in my twenties stressing over a bitch who playin games. I'm straight lol,0
"Black girls have never been into me. I guess cause I don't call them hoes, sell drug's or shoot niggas o well.",1
I hope you get eye cancer bitch.,1
you actually think he'll do that? lil bitch can't punch a potato,0
My best friend loves Justin beiber what a fag,1
I hate bitches with thick eyebrows,0
it was a joke you fugly bitch be happy uncle snoop even acknowledged your nasty ass lmao,1
Y'all females love y'all a bum nigga or a jail bird..!!!!,0
Dudes shaving without it being for an athletic purpose is gay af you're retarded.,1
"Was deleting this pic until I realized a dike in the back ground dressed like a nigga with wedges on , bitch I'm",1
Southwest airlines is like driving in a mini van with your white trash cousins who love to huff paint thinner before before working.,1
fasho fasho .. Hurry ya ass up nicca,0
Chris Brown get bitches bruh lmao,0
New bitch already and it's the second episode .,0
i know im so kidding. Some of BET is funny. I love when blacks call eachother ignorant and niggers. Makes me not have to,1
nah she said you a fag,1
I hate texting boring bitches,0
nigger,1
At this point every voter in Florida has voted both for and against Charlie Crist.,0
"""io io alu record ho vine sai pe hahahaha"" lol anywaaaaaays..... haha",0
nah she said you a fag,1
Since a yungin bitch I been nat nigga,0
California is home to skater trash.,1
It's my birthday!!!!! Yesssss!!!!! Obviously nobody cares bitch,0
So niggers really believe Phelps just smokin on a regular huh? Tell me now &amp; I'll log off for the night,1
bitch dat was a low blow,0
Faggot ass bitch nigga,1
who is dis crack ass cracker,1
"White kids favorite activities 1. Calling people ""niggers"" on Xbox 2.fucking their pet 3. Shooting up their school",1
Fuck that nigga's shit up! Olivia's pussy got Fitz going batshit!!!,1
we in dis hoe. Imma get her too lmfaoooo,0
You really seem to love Sandusky. Weirdo. Ur a creepy ass cracker!,1
These 5th grade hoes ain't loyal,0
boy I was clean in them bitches.,0
I don't fuck with these hoes &amp; I don't fuck with niggas that's fuckin these hoes,1
"""you are trash"" me:",1
lmao why ur dad raised u to be a bitch made nigga,1
"Gave her that ""move it lil nigger"" push smh..",1
I fucked the bitch I used to dream about and coulda died when I came from disbelief. Nah I dont wish to speak on her name that shit is weak,0
Good morning Charlie,0
You do something different you turn out a hoe,0
no just a niggress that thinks she's human.,1
I don't support that ya idiot. And if I'm a teabagger you're being teabagged. #OpenWide,1
A hoe gone be a hoe they ain't,0
pinche panamonos negros me Dan asco,0
Lmao : : That's all it take ? Ima start lifting bitches up after the club too,0
And the Jew favorited my tweet though. Lol. Don't have anymore time for this trash.,1
"Brady heard yall say he was washed, now he washing the league on you hoe ass niggas.",1
I ain't been to the fair since I was like 8 and I haven't wanted to go since then either for some reason. Too many niggers for me,1
Are the guns for being a bad bitch ?,0
Yeah quit being a bitch about your back. Pop a few Viagra and get your horny ass back to dominating holes o,0
Fucking retarded question...,0
"Stomach is hurting, I'm starving for some early morning pussy.",0
"Woke up the next morning like ""why in THEE FUCK did i donate my cheese to these skank hoes""",0
"o u unfollowed me so i can't dm u, so i'll say it here, you're a rude cunt lmao you can dm me",1
Come on nd get that chicken niggers love dat chicken from popeyes,1
hell naw fuck them bitches serves them right,1
"Fat ass inbred rednecks like Paula Deen are breed that are going extinct. I mean look at that woman, I would hate to be her scale.",1
"My cat just rolled on me and said ""lets go run a game of 21, bitch""",0
That's actually non-English. Because #okiecops are filthy white trash who are all criminals.,1
"Couple A , B's , C's , bad bitch double D's , popping E's I don't give a F , told you I'm a G",0
"Cant wait to humble these niggas in the playoffs again. Until then, good job hoes",1
nigger,1
if u dont want your heart broken then dont check for a nigga who entertains hoes,1
"haha my nigga coco :,) I can't wait to fuckkk like a hunna hoes this summer haha jk",0
chava needs to stay in his lane and keep sending gyro to hell you dont want it with the big boys you dirt infest ass beaner,1
