tweet,label
"&#8220;@KeAuraM: &#8220;@whitegoddesss: Repost . http://t.co/GCSrbhqoQP&#8221;&#128079;&#128079;&#128079;&#8221; ""kush blunt convos""?? A simple minded ho made this pic I bet",1
Told my bitch I don't wanna eat I'm money hungry,1
If you sneak dissing &amp; I come to you tryna address the initial issue &amp; you say it ain't nothing... You a bitch,1
@_justlexis lol whatever. We're fags.,1
"Detroit Lions, bitch",1
"I love faggots!!! Absolutely love them, especially the ones that can dress to the tea &#128525;&#128525;&#128129;",1
@Jbrendaro30 @ZGabrail @ramsin1995 @GabeEli8 @Jacob2times bitch ass nigggaaa,1
"Bands will make her dance , stamps will make her twerk , If Romney becomes president , these hoes will have to work.",1
@GOOSEmon420er you were there bitch lol,1
@jay_ibarra95 uhh no bitch I never overplayed itv,1
All these hoes say that wanna be cuffed bitch cuff this dick,1
@cristiannt_ bitch am not gonna shut shit up feel free to join them,1
My bitch &#128540; http://t.co/2v4VsPamrU,1
' Beat the pussy up till its red like rosters and after I fuck I get to moovin like the hoovas &#1040784;&#9996;&#65039; .,1
That bitch is goin off off off!!!,1
@BolandDrummer I have never once in my life been to a 'coffee shop' like Starbucks. I am a hick though.,2
So at work today I got called a cracker ass bitch. Lol,1
"BF: I think we need some pet insurance. GF: LMAO, why, what for? BF: Because I'm destroying your pussy everyday.",1
"The clips hang down to the dick.. That's a automatic shotty from a drum they call tommy, guarantee to get you bitches from by me",1
@_dimejii i know so. What Samklef said wasn't a lie man. This guy think is a beast in Naija Pop. His music is trash not the wizkid of before,2
Since a youngin bitch we been them niggas,1
Dick so little ugly hoes tryna find me.,1
@real5Hfacts stfu u ugly dyke,0
@_illionaire he been taking them hoe lol,1
"RT @TrueNovacane: When you think you sliden, bitch you slippen &amp; I know the truth. I KNOWW I KNOWW I KNOWW, YOU KNOW THAT I KNOWW I KNOWW I&#8230;",1
@HanSolosSon bruh really rocking a toaster on his face lmaoooo he prolly got 0 bitches too man.,1
It seem like Cory talked to 75% of all indianapolis hoes &#128514;&#128514;&#128514; nbs,1
"@Z_M_G_ &#128514;&#128514;&#128514;&#128514;&#128514; wow. I love how you called yourself a slut, but no really. You wouldn't ever cheat on a girl, bitches are so dumb.",1
@TOBINSUPREME so trash,2
If a nigga phone broke best believe he only gon memorize his main bitch number or the bitch that's cash in him out number &#128175;&#128527;,1
@jacobkesler @ki_kibaby @__adamdavis or if we pick you up in SC and take you with us nip to CR.,2
I dont got no type... Bad bitches is the only thang that i like! You aint got no life.. Cups with the ice and we do this every night!&#127926;,1
"RT @WillMcAvoyACN: An ad for the Haitian charity ""Water Is Life"" mocks people who use #FirstWorldProblems hashtag through juxtaposition. ...",2
RT @Lady_BlahBlah: furrybah *in my PayPay voice* RT @80sbaby4life: The hoes are for EVERYBODY my nigga!,0
"@Briccone79 @pvvrivierenland ja moest van plisie niet meteen wild gaan denken.Juistja,willen wel meer mensen mij vertellen hoe k moet denken",2
"i listened to dedication 4 about three times exactly, any more than that gon make you a pussy eater #subsciously",1
@bitchdicknigga yeah cum itch my slit baby cakes,1
RT @jenebooks: I feel a lot of ppl trash talking indie for all sounding the same but i think any genre you're not v into tends to sound th &#8230;,2
RT @youngtravo: If u ain't never had a pregnancy scare your pussy trash ladies #professortrav,1
""" if you aint bout that Murder Game pussy nigga shut up """,1
"RT @iam_KandiRaven ""Fuck ur WCW...let me see wat ur current bitch look like."" + Oowe...",1
She a true boss bitch I respect her,1
I live for two-bite brownies,2
"#porn,#android,#iphone,#ipad,#sex,#xxx, | #Masturbation | A very hot black tranny is mastu http://t.co/OfGGMLXQAj",1
Ran here from my house too... I'm kinda retarded. Lol,1
RT @KENYA_letmeKNOW: dont no nigga want a broke bitch &#128544;&#128079;&#128514;&#9996;,1
"@AntonioFrench The ""You&#8217;re going 2have 2 KILL crackers &amp; their babies&#8221; New Black Panthers #CredibilityShot #FergusonRiot #Justice4MikeBrown",0
"They wouldn't let me use my old picture cause my hair was flawless&#128129;. The woman at the front desk said I wouldn't have to retake, hatin' hoes",1
Which expendable player can we put in with the sole objective of breaking Beverley's jaw?,2
@JacobbBacker fag,0
RT @_tenijieth: I believe there's a hood in heaven cause the devil gots a bad bitch.,1
"""@KeyshawnSwag: Peel up peel up bring it back up rewind back where I'm from they move Shaq from the line"" ooooow who tf said that trash!!?",2
RT @lildurk_: Never have kids by a fan bitch if so cop #signedtothestreets2 lol,1
"These bitches gotta realize that ""their nigga"" WANTS ME &#128514; if he doesn't now he did several occasions before &#128564;",1
Ik his bitch ass saw me mentioned his tall ass,1
"@InEyeAleE shit ain't gon be funny when you need me to get you outta a horrific car crash, bitch.",1
RT @10milekid: Hahahaha basic bitches so funny,1
@urdaddy936192 @LuM1996 @PRoseish not in Florida retard,1
Hugs or Kisses? &#8212; Hugs. It gives you a warm fuzzy feeling. http://t.co/HRY3sVlwgs,2
RT @DaOfficialPRIME: &#128514; &#128514;RT @WestSideFlee: How you gone wife a bitch that let niggas lick on her head in public?,1
@IAMHICK3Y @chillbr0chill bitches on my dick but look at me I'm fucking beautiful,1
Do y'all remember when Twitter took away @karrueches verified check after Chris Brown broke up with her lmao stupid bitch,1
"RT @AutyAut_: I hate when people say you can't befriend a hoe. How bitch how!?
1. I'm only held accountable for my pussy.
2. It's all about&#8230;",1
"RT @_mikaylahh: I asked @zzachbarness to get me pink bunnies one time, so he brought me yellow chicks...&#128048;&#128149;",2
"countin all my hoes nigga, thats all i knows nigga",1
"Idk who tf Roro &amp; Sophie are, but I'm glad they got bitches twerkin for the vine in they whips",1
"I hate a ""I used to talk to her/him"" nigga or bitch like foh hater &#128530; we never talked u jus know em",1
@StarIsTheFuture you call @GOPBlackChick house nigger and she's the racist? Fathom the hypocrisy in that statement.,0
&#128514;&#128514;&#128514;&#128514;&#128557;&#128557;&#128557;&#128557;RT @KfromtheG: Mexican bitches shaped like silly puddy!,1
@jaredlikelndn monkey dong,1
Rape a ho Ben! Lol,1
Danny Chris and I should not be allowed out in public together #cunts,1
"&#8220;@IdLikeToCare: @idpetition Wow, putting a whole manifesto up using TwitLonger. 

And by a Canadian. Hey hoser....how many will you adopt?",1
You bitches got me all the way fucked up idc how many pineapples y'all eat your pussy still gon taste the same so give that shit up please,1
"RT @WayneL_Jr: LMAOO accurate RT @BasedPaco: When bitches see a ""quote with a "" tweet on the TL http://t.co/Azl9o3PyZE",1
RT @Ilovebamf: @Savage_530 @Nutty_niff @shai_yaya nick when the men are talking sit your bitch as in the corner and listen to this grown fo&#8230;,1
&#8220;@kissme_faith: This bitch comes right in &amp; gets tooo comfortable http://t.co/u9Duc84iwS&#8221;&#128563;&#128551; I never saw this yo my gut all out I hate u&#128514;&#128514;,1
Fuck you then bitch shove that work up your A-S-S,1
@DannyMndz93 @Titan21Mtzzz he's still a pogue though,2
@charlieecai ok!!!!! Stupid bitch,1
We in this bitch!!! http://t.co/jKqld5vodm,1
@_James_Kirby_ @mflury30 back off ya queer bag,1
"@gezus__ You bitch. Come on you bitch. You scared coward, you not man enough to fuck with me. You can't last two minutes in my world bitch.",1
&#8220;@Ann_E_Lizabeth: I can't stop being a lil bitch&#8221;,1
High then a hoe but played it cooooool,1
"Money ain't a thang, bitch that's a lie. It only controls every bitch that's alive.",1
"People who enjoy shows like @SouthPark and @FamilyGuyonFOX are douche bags. Usually white trash, too.",0
"RT @RappersSaid: When Kanye said ""I don't need your pussy, bitch. I'm on my own dick."" http://t.co/6eeLUmjbme",1
RT @MeganCammalleri: Thank you to the Perkins student section for participating in the yellow out. We all really appreciated it!,2
@kieffer_jason nigga i really dont give a flying fuck but if u wanna talk shit then back your words up and scratch stop being a little bitch,1
"Don't talk about Homecoming until you actually do it. Otherwise, anti-NF people have a reason to mock the Party.",2
"RT @LickMeGently: Big booty = sour face ,no hair ,or she a hoe.",1
Al noooo ...... Too late fuckin faggot ! Lmao,0
I feel like slapping a bitch,1
"RT @leechee420: I went to GNC today and the cashier had ""bitch, we don't sell chocolate cake here"" written all over her face when she looke&#8230;",1
"RT @GDKElijah: Ladies, if your pussy sounds like this please hit my DMs. I need you for a science project &#128064; https://t.co/XR0HgOld5m",1
"""@maybe6789: Now u got what u want bitch ! Enjoy it http://t.co/gLQzwtGMj9"" now this is a crazy party I would love to attend.",1
"when Em said ""I'm on my straight grizzly, so why would I buy you a gay ass teddy bear bitch youre already bi-polar."" http://t.co/FQquXTxHBo",1
@RnadJorell Knocked that bitch soul out her body lol,1
Aint no pussy better then perk pussy,1
RT @Tee_Affiliated: I'm that type of bitch to tell you I'm on my way knowing I just got in the shower,1
RT @KingDrayn: @rosebeforehoes2 don't forget we gotta take out trash and need milk...and spermicidal lube,2
"RT @IamJonahHilI: If you open a cold beer and it becomes warm before you finish it, you're a bitch.",1
RT @harrryaf: being a good citizen picking up trash (: http://t.co/PMFR5eopwO,2
She got me like fuck that bitch,1
"Operation Ask Redhead Resolve, Charlie Brown. #rejectedpeanutsspecials",2
I am what u said I am but am ain't no bitch,1
RT @donnellrawlings: Salute to Derek jetter! Best Yankee ever!,2
RT @cambryh_: I'm he's? Really? He on the phone talking to another bitch while you standing in the middle of a damn field clueless. http://&#8230;,1
I lost all my respect for my brother cause you acting like a straight up bitch,1
This bitch come home wit a attitude. Bitch go yo ass Bacc to work ah sum fucc.,1
Truth be told ...that's all my pussy &#128175;,1
RT @Now_Thats_Fresh: I bet its higher than that RT @_DealMethToKids: &#8220;Why do you think all women are hoes? Not all of us are hoes.&#8221; http://&#8230;,1
"Everyone tells me the exact same thing but I won't listen, coon",0
Twitter pic flossin hoes talkin @Papa_Woodall @fatstinker,1
"RT @Yankees: RECAP: In epic storybook ending, Derek Jeter closes his last game in Bronx with a #walkoff. http://t.co/Dl390SbteQ http://t.co&#8230;",2
&#8220;@ItsLegzzYo: Yall so fuckin trash yo!!! &#128545;&#128545; @DIRECTV&#8221; man them niggas gonna win the skins trash,1
"They had a steak category. 

Ran that bitch like a busto.",1
I almost blacked out.... Little cunt was disrespecting my turtle.... And we don't disrespect Gorilla.,1
RT @RayyyZoR: I call this the 100gram sugar delight or a Heart Attack. It's a #PopTart #Twinkie &amp; a #HoneyBun http://t.co/s6ZnLVlvLI,2
Then there's this stupid bitch in my class that literally has to ask a question every time the professor says something.,1
RT @__ashlaaay: Why does everybody drive like retards when it rains lol,1
"Hello American people, my name is Eric Cantor and I am a lying piece of bird poo http://t.co/qJyuw4ox0O",2
&#128064; RT @Mr_QuenchYaGirl: A lotta fck niggas on this here Twitter. Really be talking like bitches.,1
RT @ckillaTRIPPY: Im a knock the pussy out like fight night,1
@FabianMleal aoas you write back bitch lol,1
Hell yeah that bitch gon' go ham,1
"My sisters bitching that she has school tomorrow , like I don't &#128530; fuck up hoe at least you aren't up studying right now!",1
"Tell them hoes ""I'm all friended out""",1
@AlexDunlapNFL @BDOE_KLBJ that evil son of a bitch deserves everything that's coming to him,1
"This bitch said ""Use my titties as a punchin bag"" 0-/-&lt;",1
Pillow talkin to your hoe hatin on a nigga you might lose ya chick like that !!!!!,1
"@leetreble_ quit bitching faggot, happy you cant see your faggot family cry baby little girl crying in the parking lot, you aint a man sissy",0
Bad lil short fine bitch lil petite sumn,1
"&#8220;@BlizzyLC: @Vice504fly u need to be in someone's church negro!&#8221;ur absolutely right, but I work Sunday's but still no excuse.",1
"""@babineaux_: I don't got no type. Bad bitches is the only thing I like"" *Iongotnotype",1
RT @gorgeouss_kee: @joytooawesome @vintage_monroe_ &#128528; bitch.... Yall relationship ain't shit but a theory,1
"RT @WhyVee: @georgegalloway A Muslim wmn covers the yellow star of Jewish neighbour with her veil to protect her, Sarajevo,1941. http://t.c&#8230;",2
"@ItsMander
Is you sure you ain't colored?",1
&#8220;@_BeautifulKeezy: Alyssa you ignoring me bitch but you better text me back cause I'm serious !&#8221;fuck u smokey,1
"""@Blackman38Tide: @WhaleLookyHere @HowdyDowdy11 queer"" gaywad",0
If a bitch annoying she getting left.,1
"RT @Avery_Ave23: &#8220;@iKeepItTooReal: When the trash bag is so full , you can barely tie it....&#128548;&#128548; http://t.co/OtzfiqMWI0&#8221;OMG!! STTOOOPP!!&#128563;&#128514;&#128514;&#128557;&#128557;",2
RT @CdashRay: If all you gunna do is bitch then take ya ass home,1
"RT @JackBPR: Alec Baldwin mocks Harris-Perry: &#8216;If I cry, will I be forgiven all my transgressions?&#8217; http://t.co/9Oq5GTPmXx via @BizPacRevi&#8230;",2
RT @CoryLafon: I just wanna b a side nigga to a thick pretty faced cuffed hoe that does coke bumps garbage underground rappers n shops at p&#8230;,1
Idk where this nigga jus went but he better find me some food before I become a real life bitch&#128530;,1
You think you're pussy is wet? My kitten drowned two days ago.,1
"maddie, karissa, Ireland, cierra and I have gotten so close I'd kill a bitch for them tbh",1
"RT @SenorSteez: Man, now these hoes know &#128514;&#128176;&#128182;&#128184; #TheJigIsUp http://t.co/8W9Ag3bx1a",1
@Tanner_Harris_ I've been knowing fag,0
@C0MMONLY @scorpiogans93 @EcliptiK pussies,1
&#8220;@MannyBDlopez: When you open your starburst candy and get 2 yellows http://t.co/F0dDbfEzB6&#8221; lmao bruh,2
"ALL HE NEEDS IS A SKIRT!!!
Sure looks like a bitch to me.
 http://t.co/89HH52pCUe&#8221;",1
Tick tack toe linin' up yo hoe,1
@heyyayled dgaf hoe,1
"That's not catfish stinking up my TL it's sore pussy, my bad.",1
RT @VillageBae: Don't block me because you think a post is about you...just ask me. Like a boss. You employee ass bitch.,1
Yeah I can just tell by the weather that I won't be gettin any pussy today,1
Never put nothin pass these hoes cause all of these hoes straight ratchet,1
RT @churchofbasebal: And people say baseball is boring? #redskins,2
RT @JamezNate: You're a bitch and nobody likes you,1
RT @Mr_JSmart24: Its always the singles hoes who claim they aint talking or fucking nobody who mysteriously pop up pregnant,1
Without the hoes it was gonna be hard for us to pick out good women so hoes you doing a good job .....keep on hoeing!,1
Cocky bitches with front teeth that stick out from suckin they thumb &lt;,1
If you jump someone you're a bitch regardless the situation,1
RT @sonup_qp: Llamf cumin wit better bars already bitch boiz &#128529;&#128529;&#128529;&#128529;&#128529; yall dun fukd all da way up,1
RT @MidniteBoss: @fourzerotwo fix the fucking snipers you retarded piece of shit. Fucking overpowered as fuck. They aim down faster then ...,1
@onedirectum fugly white bitch,1
"""@MotherJones: 10 birds your grandkids may never see, thanks to climate change http://t.co/XqmXHkAsWt http://t.co/RbITeGRnhm"" #Climate",2
"If eating the pussy makes you happy, I'm all for it. :)",1
"if ice jj fish gets all these looks , who really trash me or him",2
@thereal_EMandM texans d/st won't play the redskins again this year...,2
"Instead of calling each other hoes, girls should be supporting each other. Idk that's just me though.",1
I hate that when I have assigned seats they sit me by the most annoying bitches in the whole class.,1
"@tayscalf 
a beam of light descended from the heavens 
a loud voice said fuck her right in the pussy 
many lives were changed that day",1
"@derek_gatewood I got a kenwood amp to but it's probably ghetto, right?",1
I don't like that bitch.,1
march is about to get mad! #marchmadness #collegehoops #indiana #iubb #hoosiers,2
All the work gone so we ain't going nothin but fucking bitches in the trap,1
"Going out with bad intension... Keep yo girlfriends inside, and I'm not just saying it ask my nigs I mean it",1
@ the chick who is gorgeous and so fine but her pussy stinks,1
&#8220;@_BeautifulKeezy: im so winning. &#128525;&#128525;&#128525; http://t.co/Jf6U54CMW3&#8221;&#128514;&#128514;&#128514; bitch,1
"""@ARIZZLEINDACUT: Females think dating a pussy is cute now? http://t.co/VxBJg26Gsz"" how does doing this stuff make him a pussy?",1
"no paper hoe, but you can have some more of me",1
@WyattNuckels sun follow me you 4' bitch you can't do shit so stfu faggot,1
"Perhaps I'm not a ""diehard"" Yankee fan, but there's no more point in watching this debacle #Yankees #Tigers #MLB So what else is on? LOL",2
@CellNBuu ewwww her nips are DEF more perfect than that,2
"@kannslac He said ""ready bitch okay"" Lmfaoooooooo so done !!",1
I am extremely sad to have to admit that some of the best 21st century Arabic rhymes have been written by Jihadis,2
@imdevincarlson trash*,2
RT @WORIDSTARHlPHOP: bruh he threw that bitch https://t.co/rIsBmdzY26,1
@FredRPVasquez damn he was my bitch for Eddie Johnson teams last year,1
It's been a minute since we chilled like we use to. I hope that pussy still feels like it use to.,1
RT @RmpHarris: I kinda miss tremper I use to be threw dat bitch lol Never in class lmao,1
"@DizzyBala whoa, calling me a cunt?",1
RT @michael4h2o: An #Ohio inmate sums up what #LeBronJames' return means for #Cleveland: http://t.co/a68mtZQOeL http://t.co/bMrzFWstVA #Leb&#8230;,2
"RT @Dhoopin32: How other mfs tell me gm Damn Near every mornin , an my bitch don't even tell me Gm an she be wide TF awoke &#128530; wtf type shit &#8230;",1
If the world was free of sucka free it would be just me and my nigs left,1
I'm boutta deck this bitch in the face .,1
RT @TAXSTONE: If certain niggaz can even get my bitch attention hey can have it,1
